content,content_preprocessed,sentimen
"tarik qris dana bisnis selalu ajah verifikasi wajah, tapi tariknya tidak berhasil dan kembali ke home. wasting time jadinya... Ngurusin hal yg harusnya mudah malah jadi ribet 👍",tarik qris bisnis selalu ajah verifikasi wajah tapi tarik tidak hasil home wasting time ngurusin mudah rumit,NEGATIVE
Dah burik dana sekarang banyak bug nya goblog,burik error goblog,NEGATIVE
Bisakah saya masuk akun dana saya hanya melalui no pin saya atau melalui kamera tanpa harus pakai no otp Karna saya habis kehilangan HP saya,akun nomor pin kamera tanpa nomor kode otp habis hilang handphone,NEUTRAL
Cara menampilkan notifikasi dana gimana,tampil notifikasi,NEUTRAL
is the best 👍,is the best,POSITIVE
"akun dana saya mengalami transaksi yang tidak sah dan menghabisi seluruh isi saldo dana saya, tetapi pihak dana dan customer tidak memberikan tanggapan yang serius masalah hal tersebut, saya menuntut pihak dana sebesar dan seberat beratnya untuk masalah yang sedang saya hadapi, terimakasih dana buat pengalaman buruk diawal tahun 2024 ini, semoga kedepannya semua kesalahan yang dilakuin sistem anda dan ketidaktanggungjawaban anda terhadap customer anda sendiri menjadi keruntuhan anda, terimakasih",akun alami transaksi tidak sah habis isi saldo customer tidak tanggap serius tuntut berat berat hadap terima kasih alam buruk awal moga depan salah dilakuin sistem ketidaktanggungjawaban customer runtuh terima kasih,NEGATIVE
"Hati hati sekarang jgan simpan uang di dana, dana penipu akun istri saya ada uangny sekarang g bisa ke buka, complain gak ada tanggapan.",hati hati jgan simpan uang tipu akun istri uang tidak bisa buka keluh tidak tanggap,NEGATIVE
"Bagaimana ini kirim uang pending aplikasi gak jelas,, minta bantuan bot nya gk bener cuma bisa nanti akan di laporkan ke partner teekait gimana ini saldo saua udh ke potong tf aan gak masuk bikin malu orang",kirim uang tunda tidak bantu bot tidak bisa lapor partner teekait saldo saua potong transfer aan tidak bikin malu,NEGATIVE
Gak jadi bintang 5 balikin wit woy 3.5 tf ke bank dari akun dana malah gak masuk² ke bank nya padahal atas nama yg sama. Kemana dulu uangnya ni apliksi lain gak ada yg begitu semua langsung masuk,tidak bintang balikin wit woy transfer bank akun tidak bank nama mana uang apliksi tidak,NEGATIVE
Saya sangat puas,sangat puas,POSITIVE
bermanfaat sekali.mantap pokonya.,manfaat mantap poko,POSITIVE
ok dana,oke,NEGATIVE
"Kenapa setelah di update jadi ngelek gitu apk nya,, ah jadi GK nyaman",update ngelek ah tidak nyaman,NEGATIVE
Akan Dana saya tidak bisa login mohon bantuannya Terimakasih 🙏🙏🙏,tidak bisa bantu terima kasih,NEUTRAL
Mvantap,mvantap,POSITIVE
"sebenernya bagus, tapi dari dulu tiap buka historis transaksi pasti loading gajelas, padahal sinyal bagus",sebenernya bagus tapi buka historis transaksi loading tidak sinyal bagus,NEGATIVE
Lemot banget anjir 1 minggu yang lalu temen saya ngirim uang ampe sekarang ga ada masuk masuk padahal sudah ada bukti pengiriman uang,lambat banget anjir minggu temen kirim uang ampe tidak bukti kirim uang,NEGATIVE
"Jgn lagi ada yg menginstal Aplikasi Dana ini Saldo saya bisa hilang, padahal saya nggak buka dana Untuk kawan2 yg blm install dana, nggak usah di install",jangan lagi menginstal saldo bisa hilang tidak buka belum install tidak install,NEGATIVE
"Apk aneh, setelah logout malah gak bisa login lagi, karna alasan keamanan, kan aneh banget, solusi login gak ada saran, terus gimana cara login nya.?",aneh tidak bisa lagi alas aman aneh banget solusi tidak saran terus,NEGATIVE
Kenapa makin kesini makin aneh aplikasinya segala GK bisa dibuka? Nambah Gak jelas verifikasi wajah error' tolong perbaiki lagilah!!!.,kesini aneh tidak bisa buka nambah tidak verifikasi wajah error tolong baik lagi,NEGATIVE
fitur pay leter kok gal ada fi dana saya,fitur bayar leter kok gal fi,NEGATIVE
sangat bagus dan nyaman bertransaksi,sangat bagus nyaman transaksi,POSITIVE
"sangat puas,dan aman",sangat puas aman,POSITIVE
"Jangan download aplikasi ini Dikuras dana saya 150 udah 2x kejadian Tiba"" saldo berkurang sendiri gajelas diminta kejelasannya gada jawaban sekali",jangan download kuras jadi saldo kurang tidak jelas gada,NEGATIVE
setial laporan masalah tidak di ada yang di respon pihak dana udah kirim ke email dana disuruh lapor ke asisten digital tapi asisten digital nya tidak memberikan jawaban pada masalah tolong di respon laporan masalah saya jangan di oper suruh lapor terus,setial lapor tidak respons kirim email suruh lapor asisten digital tapi asisten digital tidak tolong respons lapor jangan oper suruh lapor terus,NEGATIVE
"Saya gak bisa masuk di akun saya, saldosaya lummayan disnaa drih masuk veripikasi tpi tidak ada masuk, sayachat via dana di onstagram dsruh nunggu di telpon gak mau angkat bahakan saya email mashih di sruh nunggu. Gak mmain main saldo saya disana..",tidak bisa akun saldosaya lummayan disnaa drih veripikasi tidak sayachat via onstagram dsruh tunggu telepon tidak angkat bahak email mashih sruh tunggu tidak mmain main saldo sana,NEGATIVE
semakin oke sangat membantu dan perlu ditingkat kan lagi untukk keamanan bagi pengguna masing masing,oke sangat bantu tingkat lagi untukk aman guna,POSITIVE
Manta,manta,POSITIVE
God Job,god job,POSITIVE
Ini kenapa jaringan nya terputus terus ya,jaring putus terus,NEGATIVE
Perbedaan,beda,POSITIVE
selalu terbaik dan sangat menjadi yang lebih baik dari semua nya...,selalu baik sangat baik,POSITIVE
SANGAT BAGUS👍,sangat bagus,NEUTRAL
"mantap, aku suka terima kasih DANA",mantap suka terima kasih,POSITIVE
"Minn, cara refaund pengembalian dana jika salah nomer transfer pulsa apakah bisa di kembalikan ya min ?? 😭😭",refaund kembali salah nomor transfer pulsa bisa kembali,NEUTRAL
Aplikasinya sangat membantu pokonya ok top markotop,sangat bantu poko oke top markotop,POSITIVE
Cara ubah dana user ke premiun gimana,ubah user premiun,NEUTRAL
Ganti email,ganti email,NEUTRAL
mantab membantu sekali ini aplikasi dana,mantap bantu,POSITIVE
"mau naik jadi premium aja di persulit ,pdahal udh ngelengkapin syarat.ya ,disuruh selfi n ngirim video jga udh .. ko msih aja blum jadi ,keterangan dlam proses mulu... tolong lah di perbaiki dngan cpt ,mau buat transaksi jd susah",premium sulit pdahal ngelengkapin syarat suruh selfi kirim video jga kok masih belum terang proses terus tolong baik dngan cepat transaksi sulit,NEGATIVE
very good,very bagus,POSITIVE
Alhamdulillah sukses,alhamdulillah sukses,POSITIVE
Kocok ngirim kode otp aja kagak ada,kocok kirim kode kode otp tidak,NEUTRAL
"Baru di coba, mantap",coba mantap,POSITIVE
"sangat menguntungkan, transaksi di dana, mudah, cepat, dan aman.",sangat untung transaksi mudah cepat aman,POSITIVE
good..kurang nya dana pinjam,bagus kurang pinjam,NEGATIVE
"Akun keluar sendiri dari Aplikasi, mau masuk harus verifikasi dan nomer dana nya udah lama mati mau terima kode otp gabisa, udah di otak Atik tetep gabisa. Make verifikasi wajah juga biasa nya langsung masuk ini kenapa jadi harus make kode otp, ya Allah ada yg tau caranya? Biar bisa masuk ke akun dana nya, ada sedikit saldo mau kepake malah kayak gini",akun verifikasi nomor mati terima kode kode otp tidak bisa otak atik tidak bisa verifikasi wajah kode kode otp allah bisa akun saldo kepake kayak gin,NEGATIVE
tolong perbaiki dong jika lupa pin biar bisa atur ulang dengan mudah,tolong baik dong lupa pin bisa atur ulang mudah,NEGATIVE
Bagusss banget masss🤩,bagus banget mas,POSITIVE
Apk nya bagus saya suka boleh kasih dana sedikit pelissss,bagus suka kasih pel,POSITIVE
Siip oke,siip oke,NEGATIVE
Saya mau login ke hp baru karena hp lama rusak.. terkendala dana protection waktu login bagaimana cara mengatasinya,handphone handphone rusak kendala protection atas,NEUTRAL
"Akun sudah premium, Mantap",akun premium mantap,POSITIVE
saldo saya di akun lama belum.pindah ke akun baru.mohon bantuanya,saldo akun belum pindah akun bantuanya,NEUTRAL
gdjob,gdjob,NEGATIVE
"Sudah mengajukan dana bisnis, diketerangan 2 hari proses tapi sampe sekarang belum ada ketentuan, gak jelas apknya, lama bintang 1",aju bisnis terang proses tapi belum tentu tidak apknya bintang,NEGATIVE
tanggal 02 februari 2024 Saya melakukan pembayaran QRis dalam keterangan sudah berhasil namun ke penjual / merchan tidak masuk sama sekali Sudah melapor melalui chat admin namun sampai sekarang tidak tau kelanjutan nya (Duit hilang tanpa ada kabar ),tanggal februari bayar qris terang hasil jual merchan tidak lapor chat tidak lanjut uang hilang tanpa kabar,NEGATIVE
"sangat2 membantu aplikasi nya,,",bantu,POSITIVE
"Mau upgrade ke Dana Premium susaaaahhhhh bangeddd, padahal data² sudah diisi semua, gambarnya juga sudah jelas, sudah minta bantuan Diana, tapi tetap aja tidak bisa, tolong dongg diperbaiki!!!",upgrade premium sulit banged data isi gambar bantu tapi tidak bisa tolong dongg baik,NEGATIVE
Kerenn,kerenn,POSITIVE
bisa mempermudah transaksi,bisa mudah transaksi,POSITIVE
"Dana kntl,Setelah di update Malah Sering minta OTP,udah gitu OTP nya ga nyampe ke SMS gw,bikin ribet aja kntl.",kntl update sering kode otp kode otp tidak nyampe sms bikin rumit kntl,NEGATIVE
mohon ini saya bli emas ko gak bisa di jual,beli emas kok tidak bisa jual,NEUTRAL
simple dan ga ribet,simple tidak rumit,NEGATIVE
Kok banyak bug si kak diisi saldo dana gak bisa sementara yang ngisi udah transfer dan bukti tf ada,kok error si isi saldo tidak bisa isi saldo transfer bukti transfer,NEGATIVE
Ok mantsp,oke mantsp,NEGATIVE
"Apk nya tidak bisa di instal di android saya vivo y51l, ram2 mhon bantuan nya",tidak bisa instal android vivo mhon bantu,NEUTRAL
Mau refund aj susah amat apk macam apa ini padahal tinggalunggah vidio kocka emang apa emang sengaja?????,refund sulit tinggalunggah vidio kocka emang emang sengaja,NEGATIVE
"Bantu akun saya , di hack dan tidak bisa di buka🙏",bantu akun hack tidak bisa buka,NEUTRAL
"Uang tak bisa kembali saat laporan terkena tipu, salah transfer walai sudah menambah dengan transfer prioritas",uang tidak bisa lapor kena tipu salah transfer walai tambah transfer prioritas,NEUTRAL
"Untuk pihak Developer DANA, memberikan jaminan uang kembali jika mengalami kehilangan. Namun jaminan itu tak berlaku. Semalam Saya kehilangan DANA 600 namun setelah dilaporkan hanya mendapat arahan untuk menunggu konfirmasi tanpa ada kepastian yang jelas hingga saat ini. Mohon kebijaksanaannya.",developer jamin uang alami hilang jamin tidak laku malam hilang lapor arah tunggu konfirmasi tanpa pasti bijaksana,NEGATIVE
"Ribet gak kayak dulu,mau minta refund dana aja dipersulit jadi males buat gunain dana lagi",rumit tidak kayak refund sulit males gunain lagi,NEGATIVE
"Tidak bisa mengganti nomer hp Mesti di arahkan ke instruksi email,pas di email g di balas² Aneh da emang👎",tidak bisa ganti nomor handphone mesti arah instruksi email pas email tidak balas aneh da emang,NEGATIVE
"Uang saya ilang gegara aplikasi dana😭, aplikasi dana ga amanah bisa di hack orang, jangan download dana nanti bisa ilang semua uang anda!",uang hilang gegara tidak amanah bisa hack jangan download bisa hilang uang,NEGATIVE
Sangat Mendukung,sangat dukung,POSITIVE
mohon di bantu,bantu,NEUTRAL
"Tidak dapat mengirim dana, tarik dana, dan beli pulsa Dan sebagainnya",tidak kirim tarik beli pulsa sebagainnya,NEUTRAL
sangat cepat dan mudah,sangat cepat mudah,POSITIVE
sangat good,sangat bagus,POSITIVE
mantaapp cepat,mantap cepat,POSITIVE
"apa sih akun dana sedang di proteksi , minta bantuan gk di jelasin , tolong pihak dana perbaiki . . .??",sih akun proteksi bantu tidak jelasin tolong baik,NEGATIVE
Buat kalian yang mau download dana. Mending ga usah deh dana gampang ke hack. Akun gue aja kena hack saldo 1.066.000 habis tanpa sisa.,download mending tidak deh mudah retas akun retas saldo habis tanpa sisa,NEGATIVE
"Jangan kasih rumit dong, masa buat dijadikan premium gagal terus padahal data dan orang nya juga sama kemudian udah minta bantuan pada customer service (Diana), tolong perbaiki🙏 Saya jadi sulit melakukan transaksi🙏",jangan kasih rumit dong jadi premium gagal terus data bantu customer service tolong baik sulit transaksi,NEGATIVE
"Aplikasi gajelas dana saya gabisa di pakai, dan juga malah salahin jaringan saya yang lag padahal mah gak lag sama sekali aplikasi aneh",tidak tidak bisa salahin jaring lambat mah tidak lambat aneh,NEGATIVE
"Sangat buruk, saldo dana bisnis saya 800rb melayang gak bisa di tarik",sangat buruk saldo bisnis layang tidak bisa tarik,NEGATIVE
Sangat bgud,sangat bgud,NEGATIVE
Apk gajelas,tidak,NEGATIVE
DANA memang oke sukses selalu ayo teman teman downlod sekarang,oke sukses selalu ayo teman teman downlod,POSITIVE
Mau log in aja susah banget.. kenapa syarat log in harus verifikasi di perangkat yg lama..sedangkan perangkat lama udah rusak mati total..kenapa gak dikasih pilihan pengiriman otp nya mungkin lewat wa/sms/email..kecewa bgt sama dana..pdhal udah lama pakai dana,sulit banget syarat verifikasi perangkat perangkat rusak mati total tidak kasih pilih kirim kode otp whatsapp sms email kecewa banget,NEGATIVE
Bagaimana caranya mengaktifkan akun dana yang sudah terverifikasi KTP,aktif akun verifikasi ktp,NEUTRAL
"Kemarin mau upgrade premium, karna saya kira gagal akibat upload KK belum berhasil (KTP sudah berhasil), akhirnya saya balik lagi. Tapi saat mau upgrade ulang disuruh menunggu karna permohonan sedang diproses. Akibatnya aplikasi saya hapus lalu instal ulang. Waktu mau login ada tulisan ""Verifikasi sudah dikirim di akun dana, tap notifikasi dan tap verifikasi. Tidak menerima verifikasi cek kotak masuk atau menu verifikasi."" Lah gimana mau cek kotak masuk atau menu, masuk ke akun aja gak bisa.",kemarin upgrade premium gagal akibat upload kakak belum hasil ktp hasil lagi tapi upgrade ulang suruh tunggu mohon proses akibat hapus instal ulang tulis verifikasi kirim akun tap notifikasi tap verifikasi tidak terima verifikasi cek kotak menu verifikasi cek kotak menu akun tidak bisa,NEGATIVE
aplikasi monetering yg lengkap dan mudah,monetering lengkap mudah,POSITIVE
"Aplikasi tidak aman,mudah diretas penipu,dan apabila ada kendala,pihak dana nggak bisa bantu,jadi saya berhenti pakai aplikasi ini, tingkat keamanan yg sangat minim bagi pengguna",tidak aman mudah retas tipu kendala tidak bisa bantu henti tingkat aman sangat minim guna,NEGATIVE
Transfer ko shopeepay belum masuk juga Huffftt paraahhh,transfer kok shopeepay belum huftt paraah,NEUTRAL
terimah kasih atas kerja samanya,terimah kasih sama,POSITIVE
bagus sangatmembantu yg memerlukan.,bagus sangatmembantu,POSITIVE
Susah banget upgrade premium. Payah,sulit banget upgrade premium payah,NEGATIVE
Gak bisa ngasilin uang,tidak bisa ngasilin uang,NEUTRAL
"Udah download kagak masuk masuk, uninstall donwload lagi sama. Dah lah ga jadi pakai dana",download tidak uninstall donwload lagi tidak,NEGATIVE
Apa lah ga bisa di donglod ngabisin kouta aja udh dua kali donglod msih ga bisa di pasang apk nya,tidak bisa donglod habis kouta donglod masih tidak bisa pasang,NEGATIVE
"aplikasi sampah, keamanannya sampah, pelayanannya sampah, banyak orang kehilangan saldo. sampah pun tersinggung disamakan sama ni aplikasi",sampah aman sampah layan sampah hilang saldo sampah singgung sama,NEGATIVE
Sebenernya aku suka sih pake dana cma knpa ya aku daftar dana premiun ngak bisa jdinya aku ngak bisa tf antar dana / bank lain lewat dana tolong donkkk data saya pdhal udah sering pengajuan buat dana premiun lo,sebenernya suka sih cma daftar premiun ngak bisa jdinya ngak bisa transfer bank tolong donk data sering aju premiun,POSITIVE
Welll,wel,POSITIVE
Pass update selesay terus menginstal ga bisa gagal mulu,pass update selesay terus menginstal tidak bisa gagal terus,NEUTRAL
Jelekkkkkk bgtttttttt banyak EROR NYAAAAAAAA,jelek banget error,NEUTRAL
Aplikasi bodol. Cuma cari cuan doang. Nsbahnya ada kendala susah untuk nghbungi CS nya. Gak tanggep,bodol cari cuan nsbahnya kendala sulit nghbungi customer service tidak tanggep,NEGATIVE
senang sekali good pokonamah,senang bagus pokonamah,POSITIVE
ok bangat,oke bangat,POSITIVE
saya suka dana,suka,POSITIVE
"Kok sering gangguan ,",kok sering ganggu,NEGATIVE
heeh,heeh,NEGATIVE
sangat peraktis,sangat peraktis,NEGATIVE
puas pakai dana,puas,POSITIVE
Saya udah 2 kali kebobolan dana tolong ini gimana ya solusinya?,bobol tolong solusi,NEGATIVE
"Hati2 pakai dana..saldo kita 150 rb.trus mau di ambil malah sisa 1,5 rb.lihat di riwayat pegiriman masa ada pegiriman di broser 45 rb.aneh",saldo terus ambil sisa riwayat pegiriman pegiriman broser aneh,NEGATIVE
Mo pp P mo8 Popp Po,mo pp popp po,NEUTRAL
aplikasi dana emang enak buat top ap gane,emang top ap gane,POSITIVE
Mantab 👍,mantap,POSITIVE
"ini gimana sih DANA minta bantuan malah slow respon data"" yg di minta buat login udah di kirim tpi ttp aja harus pake kode OTP sedangkan nomor hp ya terdaftar di dana udah hilang berikut hp"" nya,, itu di aplikasi DANA saya itu ada uang nya min kalo saya gak bisa login lagi gimana ya rugi saya nya sedangkan uang itu buat modal usaha",sih bantu respons lambat data kirim ttp kode kode otp nomor handphone daftar hilang handphone uang tidak bisa lagi rugi uang modal usaha,NEGATIVE
Mantulllllll aplikasi ini,mantap,NEUTRAL
Apk konyol,konyol,NEGATIVE
Mantapbos dana apa josss,mantapbos jos,NEGATIVE
Apk bosok asu daftar cuma ada tf lha kok malah eror dancok,bosok asu daftar transfer lha kok error dancok,NEGATIVE
"Akun dana saya tiba2 d tangguhkan, gk tau salah nya dimana, coba lapor udh habis pulsa 50 rbu utk tlp costumer care di 1500445 gk guna, tlp ke 2x kali habisin plsa yg sama baru d respon tapi tidak ada solusi, mgkin ada yg ngalamin hal yg sama, mks",akun tangguh tidak salah mana coba lapor habis pulsa rbu telepon costumer care tidak telepon habis plsa respons tapi tidak solusi mgkin ngalamin makasih,NEGATIVE
"uang saya ada di dana yg nomernya sudah hilang, biasanya saya tidak diminta kode verifikasi tpi hari ini knpa saya diminta kode verifikasi. uang saya sudah terlanjur di tf ke akun dana saya yg nomernya sudah hilang. tolong tanggung jawabnya",uang nomernya hilang tidak kode verifikasi kode verifikasi uang lanjur transfer akun nomernya hilang tolong tanggung,NEUTRAL
Suka bgt sama dana,suka banget,POSITIVE
Bsgimana Cara mengatasi Dana yg d proteksi,bsgimana atas proteksi,NEUTRAL
"Jelas jelas saya di tipu. Tapi laporan saya di anggap tidak valid. Uang 4,2 juta saya hilang. Saya kecewa dengan penanganan pihak dana",tipu tapi lapor anggap tidak valid uang hilang kecewa tangan,NEGATIVE
Aplikasi dajal asik gagal transaksi ajaa gajelas nih apk tolol gk worth it pokoknya sumpah makin lama makin ngeselin,dajal asik gagal transaksi ajaa tidak tolol tidak worth it pokok sumpah ngeselin,NEGATIVE
"APLIKASI PENIPU , APLIKASI SAMPAH. TRANSFER DARI DANA SUKSES DI CEK BANK TUJUAN MASIH KOSONG . WAJIB HAPUS APLIKASI . WAJIB LAPORIN KE BANK INDONESIA OJK. JANGAN INSTAL APLIKASI INI",tipu sampah transfer sukses cek bank tuju masih kosong wajib hapus wajib laporin bank indonesia ojk jangan instal,NEUTRAL
"Rasanya kapok make dana,saya sudah beberapa kali salah isi pulsa,karena fiturnya yang menyimpan no lain dikolom pengisian pulsa,padahal saya ingin isi pulsa di no lain,seharusnya dikosongkan saja,belum lagi saat konfirmasi transaksi,seharusnya yang digedein no telpon tujuan bukan nominal pulsa,jadinya bener² gak ngeh salah isi pulsa",kapok salah isi pulsa fiturnya simpan nomor kolom isi pulsa isi pulsa nomor kosong belum lagi konfirmasi transaksi digedein nomor telepon tuju bukan nominal pulsa tidak ngeh salah isi pulsa,NEGATIVE
"Kenapa tidak bisa verifikasi wajah lagi,,?? Kalo gini kan susah login mna nomor akun dana sudah ga aktif dan tidak bisa menerima kode OTP",tidak bisa verifikasi wajah lagi gin sulit mna nomor akun tidak aktif tidak bisa terima kode kode otp,NEGATIVE
Gak jelas gak ada solusi untuk konsumen yg salah transfer bulan nya bisa di tarik kembali ini malah gak bisa payah dana gue gak percaya lagi akun Dana ini mending ke aplikasi sebelah ovo jauh lebih baik kacauuuu,tidak tidak solusi konsumen salah transfer bisa tarik tidak bisa payah tidak percaya lagi akun mending belah ovo baik kacau,NEGATIVE
alhamdulilah transaksiya. bagus lancar???👍👍👍,alhamdulilah transaksiya bagus lancar,POSITIVE
Gak bisa login akun . . Tertulis verifikasi di kirim ke akun dana anda .. padahah belum bisa masuk ke menu baranda .. gimana mau verifikasi,tidak bisa akun tulis verifikasi kirim akun padahah belum bisa menu baranda verifikasi,NEUTRAL
"Mau login ga bisa kode otp tidak dimuncul2 semua cara sudah dicoba sampai buka youtube dll, kirim email disuruh tunggu terus sudah 1 minggu lebih pdhl msih ada saldo Ada solusi? Jgn bilang lagi solusinya buka aplikasi dana wong login aja ga bisa",tidak bisa kode kode otp tidak coba buka youtube dll kirim email suruh tunggu terus minggu masih saldo solusi jangan bilang lagi solusi buka tidak bisa,NEGATIVE
"Ko sya gk bisa y msuk k dana,,",kok tidak bisa msuk,NEUTRAL
sssaaaya suka dana lebih mudah dan aman,suka mudah aman,POSITIVE
"manthap dan semoga sukses slalu. tpi hanya satu. knp terlalu banyak potongannya kalau beli token listrik, biaya adminnya 800 rupiah.",manthap moga sukses selalu potong beli token listrik biaya adminnya,NEGATIVE
Apk apaan ini ko ga bisa masuk ke apk nya tolong yg devplover tolong di benerin terima kasih,kok tidak bisa tolong devplover tolong benerin terima kasih,NEUTRAL
Suka banget,suka banget,POSITIVE
Suka sekalii,suka sekali,POSITIVE
ok.,oke,NEGATIVE
"Apk parah login aja susah, mau transfer susah, sungguh tidak menyamakan",parah sulit transfer sulit sungguh tidak sama,NEGATIVE
"Untuk seri dana terakhir ini sya kesulitan untuk login, sebelum mengatasi sistem saya tidak akan mengubah rating ini terimakasih!",seri sulit atas sistem tidak ubah rating terima kasih,NEGATIVE
Bagusss bngttt😆Tapi Dk di bolehi ayang download dana🤣🗿,bagus bngtapi dk boleh ayang download,NEGATIVE
"akun gua di dana tbtb ilang gatau knp,mana ada saldonya 200 udh cb log lagi malah verivikasi di hp sendiri tapi gabisa,notifnya pun gaada plslh itu duit 200rb ga dikit,gmn cara kembalikan nya",akun tbtb hilang gatau saldo cb log lagi verivikasi handphone tapi tidak bisa notifnya tidak plslh uang tidak dikit kembali,NEGATIVE
upgrat ke peremiyum susah nya mitak ampun aplikasi gk jelas,upgrat peremiyum sulit mitak ampun tidak,NEGATIVE
Kok gak Bisa d buat ngirim,kok tidak bisa kirim,NEGATIVE
Dana sangat bermanfaat,sangat manfaat,POSITIVE
trimaksih atas ada nya akun dana ini.kami bisa kirim uang & trima kiriman dri keluwarga.bisa jga tuk menyimpan uang di sini...,trimaksih akun bisa kirim uang trima kirim keluwarga bisa jga simpan uang,NEUTRAL
sangat bbaik,sangat bbaik,POSITIVE
walaupun ada kesalahan sedikit,salah,NEGATIVE
Saya mau menghapus akun dana premium saya tapi kok ribet amat sih,hapus akun premium tapi kok rumit sih,NEGATIVE
dana sangat membatu aktifitas q walau cuaca hujan bisa transaksi pulsa dan kirim uang tanpa keluar rmh trimakasih DANA,sangat batu aktifitas cuaca hujan bisa transaksi pulsa kirim uang tanpa rmh trimakasih,NEUTRAL
Gk ad event gratis dana ah males,tidak event gratis ah males,NEUTRAL
ok but,oke but,NEGATIVE
josssssssss,jos,NEGATIVE
Tidak bisah transaksi,tidak bisah transaksi,POSITIVE
"Maaf bos saya ga bisa membuka aplikasi dana, saya ubdetpun ga bisa gagal trus gmna bos",maaf bos tidak bisa buka ubdetpun tidak bisa gagal terus bos,NEGATIVE
Kalau mau gangi ktp susahnya kebangetan,gang ktp susah banget,NEGATIVE
dengan aplikasi dana sya lebih mudah transaksi.,mudah transaksi,POSITIVE
Mudah melakukan trs daksi,mudah terus daksi,NEUTRAL
Apk gak jelas gak konfirmasinya uang banyak hilang,tidak tidak konfirmasi uang hilang,NEUTRAL
Ngirim kode verifikasi nya lama banget,kirim kode verifikasi banget,NEGATIVE
mantab dan oke,mantap oke,POSITIVE
Sangat lambat aplikasi ini dan,sangat lambat,NEGATIVE
"makin kesini makin lama loadingnya, padahal sinyal kuat",kesini muat sinyal kuat,NEGATIVE
Nih aplikasi makin hari makin buruk aja.....udah lemot mau transaksi gagal terus. Gimana ini??????,buruk lambat transaksi gagal terus,NEGATIVE
Padahal dana adalah andalan saya. Tapi kenapa semakin canggih fiturnya malah lebih gambang kehilangan saldo tanpa menyetujui pembelian dan memencet pin atau sandi. Saya baru saja kehilangan saldo di tangal 05/02/2024.yg tanpa saya pesan atau beli tau tau sukses dan berhasil di bayar. Katanya langganan. Padahal belum pernah langanan atau melakukan teransaksi yang sama. Yang bisa di artikan akun saya atau akun dana saya tidak aman dan tidak bisa di percaya. Walupun sudah premium.saya sangat kecewa,andal tapi canggih fiturnya gambang hilang saldo tanpa tuju beli pencet pin sandi hilang saldo tangal tanpa pesan beli sukses hasil bayar langgan belum langanan teransaksi bisa arti akun akun tidak aman tidak bisa percaya walupun premium sangat kecewa,NEGATIVE
Cara langkah berikut ya macam mna ni,langkah mna,NEUTRAL
Gak bisa login di situ tertuju karena alasan keamanan,tidak bisa situ alas aman,NEUTRAL
Knpa aplikasi saya gk bisa di buka dana nya,tidak bisa buka,NEUTRAL
Ada bintang nol gasi? Atau mines bintang nya? Udh apk nya lemot mulu. Pdhl gue buka yg makan kuota gede lancar aja ga lemot. Ini knpa lemot? Trs gue beli kuota beli token skrg gamasuk2. Kuota ga masuk udh angus saldo nya. Skrg gue beli token listrik malah token nya gauncul2 di berita ada masalah lah. Antri lah. Lawak nih apk. Saldo berkurang tpi gue ga dapet apa2. Gbkl. Apk rusak ko di pasarin? Klo gabisa bikin apk udh diem aja dirumah jdi tukang nyelot aja lu. Bgst memang ni apk,bintang nol gas mes bintang lambat terus buka makan kuota gede lancar tidak lambat lambat terus beli kuota beli token kuota tidak angus saldo beli token listrik token berita antri lawak saldo kurang tidak dapet gbkl rusak kok pasarin tidak bisa bikin diem rumah tukang nyelot bgst,NEGATIVE
Dana paling terbaik,baik,POSITIVE
"Sangat bagus ,",sangat bagus,POSITIVE
saya mohon mudah kan urusan saya di aplikasi ini ok!!!,mudah urus oke,NEUTRAL
ok sangat,oke sangat,NEGATIVE
Mantap👍,mantap,POSITIVE
Saya mau login tapi harus verifikasi di akunnya Padahal saya belum masuk ke akunnya Mohon bantuannya pihak dana saya mau masuk ke akunnya saya aja ribet banget malahan gak bisa Tapi kalo menurut aku kayak dulu kan lagi kalo mau login harus pake otp biar gampang,tapi verifikasi akun belum akun bantu akun rumit banget tidak bisa tapi kayak lagi kode otp mudah,NEGATIVE
hidup jadi mudah,hidup mudah,POSITIVE
"ok,, pakai dana lebih gampang tf,, 🙏",oke mudah transfer,NEUTRAL
"Kaka akun dana saya di hek orang gimana cara memulihkan, trs saldo dana saya juga hilang",kaka akun hek pulih terus saldo hilang,NEUTRAL
Bqgeus bangeut,bqgeus bangeut,NEGATIVE
Dana KEREEEEN,keren,POSITIVE
mantaab,mantaab,NEGATIVE
"Hati - Hati. Aplikasi Dana Sekarang Kalo Transfer Sudah Sukses, Uang Belum Tentu Masuk Ke Penerima.",hati hati transfer sukses uang belum terima,POSITIVE
Aplikasi dana nga aman gampng d hack orng hati2 aja saya korban ya.. hidup lagi susah2 ginih cari kerjaan susah.. buat dana tolong d perbaiki lagi sistem keamanan ya,tidak aman gampng hack korban hidup lagi ginih cari kerja sulit tolong baik lagi sistem aman,NEGATIVE
Dana ini eror tiba2 log out ada saldonya gajian saya ini gmna dana tanggung jawabnya,error saldo gaji tanggung,NEUTRAL
Bagus simpel,bagus simpel,POSITIVE
luar biasa banget,banget,NEGATIVE
Dana nya ngebug udah di tranfer tapi uang nya blm masuk,error transfer tapi uang belum,NEGATIVE
sangat bagus dan cepat,sangat bagus cepat,POSITIVE
quick respon,quick respons,POSITIVE
