content,content_clean,sentimen
Ga bisa di buka parah,tidak buka parah,NEGATIVE
Tolong atasi akun dana saya tidak bisa buka menu beli pulsa dan paket data,tolong atas akun tidak buka menu beli pulsa paket data,NEUTRAL
Cukup mempermudah bgi yg meggunakan dana,mudah bgi meggunakan,POSITIVE
Bgus bgt ada manfaatnya,bgus banget manfaat,POSITIVE
"aplikasi nya udh gak aman, gampang ke hack",tidak aman gampang hack,NEGATIVE
Aplikasi Tolol Gak Guna Bikin Orang Bingung Kalo gak bisa buat aplikasi gak usah buat deh bikin rugi orang saran aja ya hapus aja ni aplikasi gak guna pasti yang bikin nih aplikasi kaga pernah sekolah makanya otaknya dongo kayak bocah spesialis bikin pusing nih aplikasi jangan download deh aplikasinya bikin orang stress,tolol tidak bikin orang bingung kalo tidak tidak bikin rugi orang saran hapus ni tidak bikin tidak sekolah otak dongo kayak bocah spesialis bikin pusing jangan download aplikasi bikin orang stress,NEGATIVE
"Saldo raib 10jt, respon dari pihak dana sangat buruk, sampe sekarang duitnya belum kembali. Berasa dirampok aplikasi.",saldo raib jt respon buruk sampe duit belum asa rampok,NEGATIVE
Sngat bgus,sngat bgus,NEGATIVE
Aplikasi yg tidak bertanggung jawab. Penarikan duit d bca gagal namun tidak d kembalikan saldo saya ke saldo awal Malah ketahan d menu transaksi. Sudah 3hari mash kunjung tidak d kembalikan. Bkn laporan malah gak d hiraukan sama sekali.. saran buat tmn2 jangan pernah menggunakan aplikasi dana lagi saya salah 1 kotban penipu aplikasi begal ini,tidak tanggung tari uang bca gagal tidak kembali saldo saldo tahan menu transaksi mash kunjung tidak kembali bkn lapor tidak hirau saran tmn jangan salah kotban tipu begal,NEGATIVE
Okokoko,okokoko,NEUTRAL
"Respon lambat, lola, sering gak mucul Qiris nya, stiap buka apl harus tutup lagi biar normal.. Perbaiki ini..",respon lambat lola tidak mucul qiris stiap buka tutup biar normal baik,NEGATIVE
Sudah isi dana malah sesi berakhir mau masuk lupa sandi verifikasi wajah ga bisa karna KTP pinjam nomor milik pribadi kenapa kode otp harus dihilangkan kan gak masuk akal masak apk tambah ga beres kayak gini kalo kayak gini caranya saya ga bakalan pake apk ini lagi,isi sesi masuk lupa sandi verifikasi wajah tidak ktp pinjam nomor milik pribadi kode otp hilang tidak masuk akal masak tidak beres kayak gin kalo kayak gin tidak pakai,NEGATIVE
Hati hati sama dana brow uwang ku hilang tiba tiba 200.000 tiba tiba banyak tagihan dari aplikasi luar dana,hati hati brow uwang ku hilang tagih,NEUTRAL
aplikasinya sangat bagus,aplikasi bagus,POSITIVE
saya langsung kasi bintang 5 karena aplikasinya cukup membantu.,langsung kasi bintang aplikasi bantu,POSITIVE
Lupa pin kode otp tidak muncul muncul gimana ini,lupa pin kode otp tidak muncul muncul,NEGATIVE
Kereeeen bgt,kereeeen banget,NEGATIVE
sngat senang pakai dana ga ribet,sngat senang pakai tidak ribet,POSITIVE
"Kemaren saldo saya ada 255200,saya login tiba"" saldo saya hilang ,padahal saya nggak ada pengiriman tolong balikan uang saya atau saldo dana saya minta tolong sama sistem dana untuk memulangkan saldo saya yg 25200:",kemaren saldo login saldo hilang tidak kirim tolong balik uang saldo tolong sistem pulang saldo,NEUTRAL
Saya selama ini menggunakan apk DANA bertahun-tahun. Masih bagus tidak ada kendala saat bertransaksi. Maaf. Saya kasih saran buat komonitasnya. Apk DANA bisa di modif tidak? Agar bisa menyimpan asset Cryptocurrency di DANA. Dan Tolong berbaiki apk DANA-nya biar tidak lemot saat membuka DANA-nya. Dan juga kasih fitur mode gelap atau yang lainnya. Biar pengguna semakin nyaman menggunakan DANA untuk menyimpan uang mereka di DANA. Trima Kasih.😊🙏,tahun bagus tidak kendala transaksi maaf kasih saran komonitasnya modif tidak simpan asset cryptocurrency tolong baik biar tidak lambat buka kasih fitur mode gelap biar guna nyaman simpan uang trima kasih,POSITIVE
baikk topp,baikk topp,NEUTRAL
sangat membatu tanpa ribet.,batu ribet,POSITIVE
Kenapa gak bisa masuk,tidak masuk,NEGATIVE
Udh pakai berapa tahun ni aplikasi tapi pitur danapaylater nya belum ada padahal udh premium,pakai ni pitur danapaylater belum premium,NEGATIVE
Semakin ribet menggukan dana saat kirim otf feripikasi ga muncul muncul,ribet menggukan kirim otf feripikasi tidak muncul muncul,NEGATIVE
Gabung ke program beta Untuk bisa mengaktifkan dana cicil atau dana pay later,gabung program beta aktif cicil pay later,NEUTRAL
Coba tolong jelasin tiba² dana saya g bisa di buka padahal. Sadi sma no tlp nya sudah benar sampe sekarang saua belum bisa bukA dana nya,coba tolong jelasin buka sad sma no tlp sampe saua belum buka,NEGATIVE
Sangat top di era verifikasi muka,top era verifikasi muka,POSITIVE
Saya kan jual hp lama. Terus pake hp baru untuk login ke dana tapi kok tidak bisa. Katanya harus minta verifikasi dari hp lama yang sudah di jual. Cara mengatasi nya bagaimana. Kalo nomor saya masih aktif Pin juga saya ingat. Tolong bantuannya,jual hp pakai hp login tidak verifikasi hp jual atas kalo nomor aktif pin tolong bantu,NEGATIVE
Aplikasi tdk jelas laporan kehilangan saldo saya di bilang tidak valid oleh pihak dana pdhl sdh jelas2 saya tidak pernah lakukan transaksi yg saya laporkan kpd pihak dan,tidak lapor hilang saldo bilang tidak valid pdhl tidak laku transaksi lapor kpd,NEUTRAL
Aplikasinya sangat bagus saya punya keluhan nomor hilang dan tidak bisa login langsung di proses 👍👍👍👍akun saya sudah kembali😍,aplikasi bagus keluh nomor hilang tidak login langsung proses akun,NEGATIVE
oke.sangat menbatu..,oke menbatu,NEGATIVE
mantappp dana proses cepat,mantappp proses cepat,NEUTRAL
Kak punya saya ga bisa dibuka karna verifikasi wajah bukan saya tpi nomor yg saya pakai milik pribadi knpa sekarang GK bisa kirim kode otp harus verifikasi wajah lh sedangkan saya barusan isi saldo terus gmna,tidak buka verifikasi wajah bukan tpi nomor pakai milik pribadi knpa tidak kirim kode otp verifikasi wajah lh barusan isi saldo,NEUTRAL
sangat bagus praktiss banget,bagus praktiss banget,POSITIVE
Uji coba,uji coba,POSITIVE
puasssss,puasssss,POSITIVE
"Update dana terbaru 2024 telah merugikan saya, saya tidak bisa login lagi ke akun dana saya ,setelah update terbaru",update baru rugi tidak login akun update baru,NEGATIVE
Costomer ampas repport penipuan tidak ada tindakan sama sekali .,costomer ampas repport tipu tidak tindak,NEUTRAL
Saldo tiba tiba hilang kakak macam mana ini??,saldo hilang kakak,NEGATIVE
pake dana mmg top,pakai top,POSITIVE
Aplikasi yang bagus,bagus,POSITIVE
Beginilah jalannya satu-satunya gara-gara anjay 🤐🤩🤩🤩🤩,jalan satu gara gara anjay,NEUTRAL
Untuk sekarang saya kasih rating 1... Hari ini saya di buat kalut sama Dana..saya transfer uang pending...penangannya lambat ..padahal saya lagi butuh banget uangnya buat nenek saya yang di rawat... Kalo uang saya kembali cepat saya kasih rating bintang 5..,kasih rating kalut transfer uang pending nang lambat butuh banget uang nenek rawat kalo uang cepat kasih rating bintang,NEGATIVE
Dana saya kemarin tidak aman baru saja ada tranksasi yang mencurigakan 5 kali ketika pengajuan responnya sangat tidak bikin paham mohon untuk bantuan respon dan untuk penghubung akun kenapa tiba tiba akun penghubung saya awalnya kosong uang yang diambil juga ga sedikit kalok dikembalikan karna uang sangat saya butuhkan mohon kerjasamanya biar sama sama enak,kemarin tidak aman tranksasi curiga kali aju responnya tidak bikin paham mohon bantu respon hubung akun akun hubung kosong uang ambil tidak kalok kembali uang butuh mohon kerjasamanya biar enak,NEGATIVE
"Terimakasih apl bagus,sangat berguna",terimakasih bagus guna,POSITIVE
"Halo pihak dana yang terhormat tolong atasi akun dana saya,permasalahan nya adalah tidak bisa digunakan untuk ber transaksi,,mohon bantuan nya pihak dana yang terhormat",halo hormat tolong atas akun masalah tidak ber transaksi mohon bantu hormat,NEUTRAL
Sangat berkualitas dan terjangkau,kualitas jangkau,POSITIVE
"Aplikasi dana saya tidak bisa baca riwayat transfer uang kedana dan mau check in juga sama, saya sudah berapa kali masukin uang kedana tapi tidak ada penjelasannya tlg diperhatikan dan harap email yg saya gunakan ini jgn dikaitkan dengan account dana saya sebab email ini ada hackers yg mengincarnya karena saya gunakan email ini untuk kumpul points pada indo grosir jadi kalau ada yang gunakan email ini link ke dana saya jgn diizinkan kalau bukan dari server dan nomor ponsel yg saya gunakan thanks",tidak baca riwayat transfer uang dana check in kali masukin uang dana tidak jelas tlg perhati harap email jgn kait account email hackers incar email kumpul points indo grosir email link jgn izin bukan server nomor ponsel thanks,NEGATIVE
Oke sangat bangus mantap,oke bangus mantap,POSITIVE
Aplikasi sangat bagus tapi dana viz saya tidak bisa di non aktifkan jadi setiap mau transfer harus verifikasi wajah dulu,bagus viz tidak non aktif transfer verifikasi wajah,POSITIVE
Bagut dan terpecaya,bagut terpecaya,POSITIVE
Awerttghh,awerttghh,NEGATIVE
"Dah lama pake app dana, simple untuk bayar listrik, air, gak mesti keluar rumah",dah pakai simple bayar listrik air tidak mesti rumah,NEGATIVE
Siapp,siapp,POSITIVE
Akun samih tertutup kapan bisa d buka lg,akun samih tutup buka lg,NEUTRAL
Mudah transfer kmnapun,mudah transfer kmnapun,NEUTRAL
ngga bisa di tarik tunai susah banget di premium,ngga tarik tunai susah banget premium,NEGATIVE
Tidak di sarankan menyimpan uang nominal besar di apk ini,tidak saran simpan uang nominal,NEUTRAL
Aplikasi berat membukay,berat membukay,NEGATIVE
"Huhu kenapa apk nya gak bisa buat mindahin akun karna ganti nomor yg lama ke sekarang, pdhl udah berulang kali chat admin juga tetep ngelakuin peraturan tetep ae gak bisa buat premium, etdahhh pdhl itu akun buat pake KTP sendiri masa iya kagak bisa Mulu ngepindahin nomor doang, kesel gua... Tolong dong majuin yg bener apk nya gedek mah kasih bintang 1 dulu biar direspon",huhu tidak mindahin akun ganti nomor pdhl ulang kali chat admin tetep ngelakuin atur tetep ae tidak premium etdahhh pdhl akun pakai ktp iya tidak ngepindahin nomor doang kesel tolong majuin bener gedek mah kasih bintang biar direspon,NEGATIVE
Aplikasi nya bagus terimakasih saya kasih bintang 4,bagus terimakasih kasih bintang,POSITIVE
"Simpel, praktis, keamanannya juga mantap",simpel praktis aman mantap,POSITIVE
apik bagus,apik bagus,POSITIVE
Harusnya ada solusi kaya misalnya kecelakan sperti hp nya hilang/kartunya hilang.agar bsa masuk lg ke akun.trs gmna caranya agar bsa masuk lg ke akun yg udah terdaftar di hp yg hilang?ga ada solusinya,solusi kaya cela sperti hp hilang kartu hilang bsa masuk lg akun trs bsa masuk lg akun daftar hp hilang tidak solusi,NEGATIVE
"Uang saya kenapa belum Dikembalikan,saya gk pernah melakukan transaksi tersebut",uang belum kembali tidak transaksi,NEUTRAL
apk yg sangat membantu,bantu,POSITIVE
bagus dan cepat,bagus cepat,POSITIVE
sangat hebat,hebat,POSITIVE
mantap aja udah,mantap,POSITIVE
Ga bisa kepake buka aja susah,tidak kepake buka susah,NEGATIVE
Sangat bagus dan memudahkan untuk manabung atau transfer. Aku suka,bagus mudah manabung transfer suka,POSITIVE
sangat bagus mmbantu,bagus mmbantu,POSITIVE
"berguna bgt,gk perlu repot² harus ke bank buat setor tunai, cukup ke alfa terdekat trus tf ke no rek",guna banget tidak repot bank setor tunai alfa dekat trus transfer no rek,NEUTRAL
Kenapa ini kok gak bisa masuk dana padahal udah masukin nomer sama pin yang bener Lo kok .masih terus pas klik lupa pin ada akun anda sedang di protex gimana si,tidak masuk masukin nomer pin bener pas klik lupa pin akun protex si,NEGATIVE
cuan hacor maxwin,cuan hacor maxwin,NEUTRAL
klo dana udah ada yang bajak tapi udah ganti nmr sama pin apakah aman,klo bajak ganti nmr pin aman,NEGATIVE
sangat bagus dan bermanfaat,bagus manfaat,POSITIVE
agak lelet min 🙏,lambat min,NEGATIVE
"sebenarnya udah lama pake dana dan aplikasinya juga lumayan bagus, cuma sekarang pas mau tarik saldo malah bug banget, setiap habis vermuk bukannya saldonya ke tarik malah kembali ke beranda",pakai aplikasi lumayan bagus pas tarik saldo bug banget habis vermuk saldo tarik beranda,NEGATIVE
Mental teruss di oppoa37fw,mental teruss oppoa fw,NEUTRAL
Kenapa aplikasi nya gak bisa saya downloud di hp asus saya,tidak downloud hp asus,NEUTRAL
apl sangat bagus,bagus,POSITIVE
"Jgn ada yg mau downlod apk ini, nanti uang kalian bisa hilang dgn alasan perbaikan sistem. Silahkan lihat komen yg lain kalo tidak percaya, msh tidak percaya jga silahkan buktikan sendiri. Terima kasih.",jgn downlod uang hilang dgn alas baik sistem silah lihat komen kalo tidak percaya msh tidak percaya jga silah bukti terima kasih,NEGATIVE
Sangat memuaskan transfer dana tidak ribet,muas transfer tidak ribet,POSITIVE
"Tolong aplikasi dana , akun saya di bobol , caranya gmn, krna haker itu udah membuat cicilan, atau utang",tolong akun bobol gmn haker cicil utang,NEUTRAL
Bapak kuh manusia bapak kau apa,kuh manusia kau,NEGATIVE
Saya mengalami kesulitan saat login akun dana tapi terkendala kode OTP karna nomor saya sudah tidak aktif saya melaporkan melalui email atau Facebook tapi tidak ada titik terang minta tolong untuk pihak DANA segera perbaiki cara kerjanya biar tidak merugikan banyak orang,alami sulit login akun kendala kode otp nomor tidak aktif lapor email facebook tidak titik terang tolong baik kerja biar tidak rugi orang,NEUTRAL
"Aplikasi apaan ini,aplikasi burik",burik,NEGATIVE
top....jaga kualitas baik nya bos qu,top jaga kualitas bos qu,NEGATIVE
"Aplikasi maling pencuri ,penipu ,suka mencuri saldo ,tiap diminta solusi selalu robot Diana yg ngomong ,bagusan aplikasi sebelah",maling curi tipu suka curi saldo solusi robot ana ngomong bagus belah,NEGATIVE
MENYALA ABANGKUHHH 🔥🔥🔥,nyala abangkuhhh,NEUTRAL
excellent,excellent,POSITIVE
Kenapa gak bisa masuk kk.padahal no udah dimasukan tetap gak bisa,tidak masuk kk no masuk tidak,NEGATIVE
Dana tidak bisa update ke premium padahal KTP blm pernah di pakai,tidak update premium ktp belum pakai,NEUTRAL
"Gimana Verifikasi nya WOI, INI HP SATU SATUNYA DAN AKUNNYA JUGA DISINI MASA HARUS LOGIN LAGI.",verifikasi woi hp satu akun login,NEUTRAL
cukup memuaskan bos,muas bos,POSITIVE
Mudah dan cepat....memuaskanlah pastinya,mudah cepat muas pasti,POSITIVE
pelayanan sangat bagus,layan bagus,POSITIVE
Mntul👏👍👍,mntul,NEUTRAL
"Aneh gak bisa daftar padahal no hp baru semua tapi notifnya klo gak jaringan nya jelek,sama akun di bekukan",aneh tidak daftar no hp notifnya klo tidak jaring jelek akun beku,NEGATIVE
Dana membantu sekali untuk kegiatan sehari-hari membuat lebih mudah,bantu giat hari mudah,POSITIVE
Next.,next,POSITIVE
Bagus cepat dannbs dipercaya Terimakasih DANA,bagus cepat dannbs percaya terimakasih,POSITIVE
trim ya min dana slalu membantu kami semoga sukses,trim min slalu bantu moga sukses,POSITIVE
"mantap , cepat dalam bertransaksi.",mantap cepat transaksi,POSITIVE
gak bisa di buka.. payah,tidak buka payah,NEGATIVE
Kenapa verifikasi saya sangat lama? Saya ingin segera mentransfer saldo saya,verifikasi transfer saldo,NEGATIVE
"Slow respon, Bayar pajak motor lewat dana, 2 hari ga masuk² uangnya .... Statusnya masih belum terbayarkan.... Di konfirmasi jawabannya berbelit",slow respon bayar pajak motor tidak masuk uang status belum bayar konfirmasi jawab belit,NEGATIVE
Min tolong mau masuk apk susah kode nya ga dikirim2,min tolong masuk susah kode tidak kirim,NEGATIVE
"Aplikasi dax berguna,masak udah satu hari nunggu daftar.masi dalam proses trus tiap di bukak",dax guna masak nunggu daftar mas proses trus bukak,NEUTRAL
senang punya akun dana,senang akun,POSITIVE
cepat nyaman,cepat nyaman,POSITIVE
paten kali pokonya,paten kali poko,NEGATIVE
dana begitu menguntungkan bagi saya,untung,POSITIVE
"bagus untuk transaksi, aman, dan mudah banget dipakai. tapi enggak tau kenapa teman-teman kerja ku pada takut pakai dana, katanya nanti uangnya kesedot.",bagus transaksi aman mudah banget pakai tidak tau teman teman kerja ku takut pakai uang sedot,NEGATIVE
@mbowojpr upgrade ke premium lama banget,upgrade premium banget,NEGATIVE
Bagus tapi susah utk mengunduhnya???,bagus susah utk unduh,NEGATIVE
Pelayanan dana sangat bagus tetapi kenapa lamban sekali dalam menangani akun saya yg di tangguh kan. Pada hal saya sudah menghubungi pihak dana via chat. Bagai mana saya bisa masuk histori sedangkan masuk ke akun saja gak bisa.,layan bagus lamban tangan akun tangguh hubung via chat masuk histori masuk akun tidak,NEGATIVE
"Sumber para penipu mengumpulkan uang kejahatan, sangat tidak kredibel",sumber tipu kumpul uang jahat tidak kredibel,NEGATIVE
Kenapa dana saya tidak bisa? Selalu ada tulisan verifikasi terus tapi ga muncul muncul,tidak tulis verifikasi tidak muncul muncul,NEGATIVE
Jos mantap,jos mantap,POSITIVE
Ga bisa masuk ke akun dana saya,tidak masuk akun,NEUTRAL
enak di pakai,enak pakai,POSITIVE
knpa saya ksih 1 kena dri bulan Juni 2023 smpai gold saya gagal trus krna KTP nma sma foto pudar tolong lah ke dana,knpa ksih kena dri juni smpai gold gagal trus ktp nma sma foto pudar tolong,NEUTRAL
Sangat membantu buat pembayaran usaha,bantu bayar usaha,POSITIVE
Sangat membantu ... Kalau mau transfer gampang,bantu transfer gampang,POSITIVE
"Untuk semua silahkan uninstall dana sebelum dana anda diraib orang dalam, karna dana tidak bertanggung jawab, silahkan menggunakan dompet lain yg aman, dana sangat tidak aman",silah uninstall raib orang tidak tanggung silah dompet aman tidak aman,NEGATIVE
Gak bisa login cook,tidak login cook,NEUTRAL
jafilah,jafilah,POSITIVE
"Rada kecewa nih ama dompet digital ini,kalau bisa nanti kalo ada transaksi otomatis please lah jangan langsung sat set,alhasil duit tiba tiba ludes tanpa persetujuan.Minimal kasih notif dulu kek😌",rada kecewa ama dompet digital kalo transaksi otomatis please jangan langsung sat set alhasil uang ludes tuju minimal kasih notif kek,NEGATIVE
Bagus sekali buat nabung mantap,bagus nabung mantap,POSITIVE
aplikasi gajelas saya mau masuk ke akun saya sendiri malah disuruh verifikasi padahal saya hanya login akun dana di hp saya satu jadinya saya tidak bisa login,tidak masuk akun suruh verifikasi login akun hp tidak login,NEGATIVE
Lancar Alhamdulillah,lancar alhamdulillah,POSITIVE
bagus sekai,bagus seka,POSITIVE
Dana udah enggak jelas saldo masa ilang tiba tiba,tidak saldo ilang,NEGATIVE
Cara supaya dapat dana paylater gimana kak??,paylater,POSITIVE
lumayan ok,lumayan ok,POSITIVE
Kak cara mau copot KTP dari akun dana lama,copot ktp akun,NEUTRAL
sangat oke dan memudakan bgt,oke muda banget,POSITIVE
"Ini apk abal"" apa Mau upgrade ke premium sudah pekai ktp tapi tidak bisa ku cek masih dalam proses terus sudah 2 hari",abal upgrade premium peka ktp tidak ku cek proses,NEGATIVE
Mau masuk di persulit akun ini tidak aman bisa di retas oleh orang yang tak takut dosa mending gausa pakai dana,masuk sulit akun tidak aman retas orang tidak takut dosa mending gausa pakai,NEGATIVE
"Blh banget,..lah",blh banget,NEGATIVE
Sangat sulit untuk upgrade ke premium. Di persulit lama. Padahal data sudah lengkap. Kasi bintang 1 aja. Sampai pihak dana mempermudah upgrade ke premium,sulit upgrade premium sulit data lengkap kasi bintang mudah upgrade premium,NEGATIVE
Alhamdulillah,alhamdulillah,POSITIVE
Saya suka apk dana,suka,POSITIVE
"Semenjak update , mau pindah ke hp lain kox selalu verikasi aktivitas ,? Apk di hp yang lama sudah dihapus pula , verifikasi wajah sudah masih tetep gak masok",semenjak update pindah hp kox verikasi aktivitas hp hapus verifikasi wajah tetep tidak masok,NEGATIVE
bagus sekali lebih peraktis,bagus peraktis,POSITIVE
"Ikan hiu Makan tomat,,hmm mne ad",ikan hiu makan tomat hmm mne ad,POSITIVE
Tetap exis,exis,POSITIVE
bismilah,bismilah,POSITIVE
Halo kak kok uang saya hilang ya 20k lebih. Awaknya saya ke A+ Reward truk klik focer MLBB harga 1.500 ku pencet suruh slin pas ku salin ku cari dah di google hasil tidak ditemukan pas balik ke dana kembil 20k lebih padahal di riwayat transaksi ga ke ambil buat apa apa gimana ini kak?,halo uang hilang awak reward truk klik focer mlbb harga ku pencet suruh slin pas ku salin ku cari dah google hasil tidak temu pas kembil riwayat transaksi tidak ambil,NEGATIVE
Aplikasi menjijikan...upgrade premium ga bisa2...disuruh chat ma asisten persyaratan bnyk bgt Ampe nunggu 3-5 hari..lu mau bkin pinjol ato gimana..gw cma mau TF duit gw ke temen...cuihh,jijik upgrade premium tidak suruh chat ma asisten syarat bnyk banget ampe nunggu bkin pinjol ato gw cma transfer uang gw temen cuihh,NEGATIVE
Saya mau tf pake dana tapi scan qris nha gabisa,transfer pakai scan qris nha tidak,NEGATIVE
"sangat sangat membantu, trimakasih dana dn tidak ribet prosesnya",bantu trimakasih dn tidak ribet proses,POSITIVE
nyaman bertransaksi lebih cepat,nyaman transaksi cepat,POSITIVE
Tolong untuk fitur verifikasi wajah di hilangkan saja atau di buat agar bisa menonaktifkan atau diaktifkan. Karna fitur verifikasi wajah ini bukannya mempermudah atau mempercepat pembayaran malah jadinya mempersulit pengguna sekaligus memakan waktu lama,tolong fitur verifikasi wajah hilang nonaktif aktif fitur verifikasi wajah mudah cepat bayar sulit guna makan,NEGATIVE
saya suka ini,suka,POSITIVE
Sangatt membantu..saya ampir 6 thn punya aplikasi ini banyak manpaat nya sgala transaksi bisa di lakukan di dana..,sangatt bantu ampir thn manpaat sgala transaksi laku,POSITIVE
Banyak kendala suka eror,kendala suka error,NEGATIVE
GK bisa kirim dana mlh,tidak kirim mlh,NEUTRAL
bagus....dan sangatvmudah,bagus sangatvmudah,POSITIVE
Kita nya suruh d apdet.giliran d apdet g bisa2.gmn sih ini🙏🙏🙏,suruh apdet gilir apdet gmn,NEGATIVE
lebih mudah dengan aplikasi ini,mudah,POSITIVE
Sekedar saran aja..penarikan lewat ATM..jgn hanya BCA aja geh..coba BRI juga bisa. Jangkauan ATM BRI kan dimana² ada..,dar saran tari atm jgn bca geh coba bri jangkau atm bri mana,NEUTRAL
"Slmt malam,knp aplikasi tidak bisa di gunakan di iphone?",slmt malam knp tidak iphone,NEUTRAL
cukup membantu.dan sangat puas,bantu puas,POSITIVE
Aplikasi lol,lol,NEGATIVE
mantap sangat membantu ..,mantap bantu,POSITIVE
Punya saya di hack orang tak dikenal.,hack orang tidak kenal,NEGATIVE
"Jangan pake dana ,banned aja kalo bisa ,aplikasi tidak ada tanggung jawabnya ,saldo hilang seketika ,tanpa ada pemberitauan ,keamanan nol besar ,",jangan pakai banned kalo tidak tanggung saldo hilang pemberitauan aman nol,NEGATIVE
"Saya sangat marah pada aplikasi ini, karena uang saya hanya tersisa 9 rupiah saja🖕🖕🖕",marah uang sisa rupiah,NEGATIVE
"Gimana nih saya baru saja transaksi listrik, tapi belum sempet liat isi tokenmya, malah di bilang transaksi anda eror, tapi saldo saya udah tersedot",transaksi listrik belum sempet liat isi tokenmya bilang transaksi error saldo sedot,NEGATIVE
"Pengalaman terburuk Dana tiba2 di bekukan sdh hampir 2mgu tdk bs di buka , saldo sy di dana sangat besar , sdh tlp cs n konfirmasi by email tp jawabannya malah akun sy di tutup.. mana pertanggungjawaban dr pihak dana soal saldo sy?? Mnta akun di aktifkn kembali sj susahnya mnta ampun Perlu sy laporkan ke BI??",alam buruk beku mgu tidak bs buka saldo sy tlp customer service konfirmasi by email tp jawab akun sy tutup pertanggungjawaban dr saldo sy mnta akun aktifkn sj susah mnta ampun sy lapor bi,NEGATIVE
"APLIKASI NGAK JELAS ,SAYA GANTI NOMER TIBA TIBA NOMER SAYA KENA PROTEKSI ANEH NGAK JELAS BAPERAN",ngak ganti nomer nomer kena proteksi aneh ngak baperan,NEUTRAL
sangat bagus......,bagus,POSITIVE
kenapa aplikasi dana saya tidak bisa update,tidak update,NEGATIVE
apa sh dana tiba2 saldo habis nyedot sendiri parah kecewa!!!,sh saldo habis nyedot parah kecewa,NEGATIVE
"Parah ini Dana dompet digital....saldo dana tidak bisa dicairkan...masih bagus waktu awal awal bukalapak, setelah bekerjasama dgn pihak ketiga si ""DANA"" system pembayaran yg tersimpan tidak bisa dicairkan, itu admin si ""Diana"" brengsek.",parah dompet digital saldo tidak cair bagus bukalapak bekerjasama dgn tiga si system bayar simpan tidak cair admin si ana brengsek,NEUTRAL
Baiiikk,baiiikk,POSITIVE
"Kenapa akun saya dibekukan , padahal saya habis isi saldo , up dahh dana , maless",akun beku habis isi saldo up dahh maless,NEUTRAL
apk bagus sekali,bagus,POSITIVE
"kenapa nominal uangnya jadi berkurang dengan sendirinya tanpa saya belanjakan?...,skr jadi gini ya saya jadi rugi donk..., ini harus dikomplain atau kalau g saya hapus saja aplikasinya Krn saya jadi rugi dan kehilangan nominal uang top up dech",nominal uang kurang belanja skr gin rugi donk komplain hapus aplikasi krn rugi hilang nominal uang top up dech,NEGATIVE
Layanan pengembalian dana di persulit semakin kesini semakin susah untuk minta refun uang karena kesalahan sendiri,layan kembali sulit kesini susah refun uang salah,NEGATIVE
"mantap,banyak membantu utk yg jauh dr ATM/bank",mantap bantu utk dr atm bank,POSITIVE
Sopir,sopir,NEGATIVE
bagus jadi gmpang,bagus gmpang,POSITIVE
aplikasi yang membantu,bantu,POSITIVE
Nomor ku kaga bisa Mulu knp y bisa di bantu 🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏,nomor ku tidak knp bantu,POSITIVE
Adit,adit,NEGATIVE
Mantap lah dana,mantap,POSITIVE
"mau transfer keluar pilihan upgrade dl, diupgrade jg ttp gak bs. jd gak bs2 mw ngirim. mw ngirim ke teman ktny gagal krn payer blm melakukan kyc. sulit sx sih pake aplikasi ini. ud terlanjur ngisi saldo lg tp gk bs dikirim kan percuma. kesaaal",transfer pilih upgrade dl diupgrade jg ttp tidak bs tidak bs mw ngirim mw ngirim teman ktny gagal krn payer belum kyc sulit sx pakai ud lanjur ngisi saldo lg tp tidak bs kirim kesaaal,NEGATIVE
membantu,bantu,POSITIVE
Saya ngga puas kenapa dana saya suka hilang,ngga puas suka hilang,POSITIVE
Tidak bisa masuk k akun dana selalu ada tulisan pin salah padahal pin sudah benar mohon petunjuk,tidak masuk akun tulis pin salah pin mohon tunjuk,NEGATIVE
Benar kah banyak yang hilang menyimpan Uang di dana. Pantau setiap detik,kah hilang simpan uang pantau detik,NEUTRAL
Mantabb,mantabb,NEUTRAL
Semoga bermanfaat,moga manfaat,POSITIVE
aplikasi nya cukup bagus memudahkan pembayaran,bagus mudah bayar,POSITIVE
"Saya mau upgrade ke dana premium proses nya lama bangeet,sudaaah seharian nunggu masih belom selesai juga",upgrade premium proses bangeet sudaaah hari nunggu belum selesai,NEGATIVE
"sangattt baguss dan lebih gampang dan lebih praktis bgttt... murah tapi gx murahan, aplikasi sangat bagus!!!",sangattt baguss gampang praktis bgttt murah gx murah bagus,POSITIVE
saya suka aplikasi ini,suka,POSITIVE
memudah kan segala pembayaran,mudah bayar,POSITIVE
"Alhamdulillaah sdh beres mslh sy bayar pam 2x, meski tanpa ada konfirmasi dan lama yg pntg akhirnya beres urusan sy. Jd sy ksh 5 bintang skrg.",alhamdulillaah beres mslh sy bayar pam konfirmasi pntg beres urus sy sy ksh bintang skrg,NEUTRAL
makai dana permudah sgala pembayaran.. trmksh dana,maka mudah sgala bayar trmksh,POSITIVE
Mantul (mantap betul),mantul mantap,POSITIVE
bantu akun dana jadi pernium,bantu akun pernium,NEUTRAL
